Mood,Tamil Song,Tamil Movie,Travel Location,Famous Places,Famous Hotels with Price,Food,Book
Happy,Munbe Vaa,Sillunu Oru Kadhal,Goa,"Ooty Lake, Doddabetta Peak, Botanical Garden",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,The Alchemist
Romantic,Munbe Vaa,Thani Oruvan,Manali,"Botanical Garden, Doddabetta Peak, Ooty Lake",The Leela (₹15000/night),Chocolate Ice Cream,Sapiens
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Baga Beach, Aguada Fort, Dudhsagar Falls",The Carlton (₹8000/night),Samosa,Atomic Habits
Adventurous,Munbe Vaa,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Baga Beach, Aguada Fort, Dudhsagar Falls",Taj Savoy (₹10500/night),Pasta,Ikigai
Calm,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Taj Exotica (₹12000/night),Samosa,Atomic Habits
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Goa,"Kufri, Jakhoo Temple, Mall Road",Wildflower Hall (₹13000/night),Pizza,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Tea County (₹7000/night),Pizza,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Biryani,Big Magic
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Dudhsagar Falls, Aguada Fort, Baga Beach",Wildflower Hall (₹13000/night),Samosa,Ikigai
Romantic,Munbe Vaa,Vaaranam Aayiram,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Samosa,The Alchemist
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Pillar Rocks, Bryant Park, Coaker's Walk",Taj Exotica (₹12000/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Vaaranam Aayiram,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Manu Allaya Resort (₹7500/night),Biryani,Sapiens
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Goa,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Calm,Munbe Vaa,Deiva Thirumagal,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Exotica (₹12000/night),Samosa,Atomic Habits
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Happy,Nenjukkul Peidhidum,Deiva Thirumagal,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Fragrant Nature (₹8500/night),Pasta,Atomic Habits
Calm,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Exotica (₹12000/night),Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Taj Savoy (₹10500/night),Biryani,Big Magic
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Pasta,Sapiens
Calm,Munbe Vaa,Minnale,Manali,"Coaker's Walk, Bryant Park, Pillar Rocks",Savoy Ooty (₹9000/night),Samosa,Ikigai
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Savoy (₹10500/night),Samosa,The Alchemist
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Savoy (₹10500/night),Chocolate Ice Cream,Big Magic
Romantic,Munbe Vaa,Deiva Thirumagal,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Pillar Rocks, Bryant Park, Coaker's Walk",Manu Allaya Resort (₹7500/night),Biryani,Big Magic
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Pillar Rocks, Bryant Park, Coaker's Walk",The Leela (₹15000/night),Ice Cream,Atomic Habits
Romantic,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Carlton (₹8000/night),Pasta,Atomic Habits
Romantic,Munbe Vaa,Thani Oruvan,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Savoy (₹10500/night),Ice Cream,Sapiens
Happy,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Pillar Rocks, Bryant Park, Coaker's Walk",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Ikigai
Adventurous,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Pizza,Big Magic
Happy,Munbe Vaa,Minnale,Goa,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Wildflower Hall (₹13000/night),Biryani,Big Magic
Adventurous,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Span Resort & Spa (₹10000/night),Biryani,Atomic Habits
Romantic,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Savoy Ooty (₹9000/night),Pasta,Sapiens
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Tea County (₹7000/night),Chocolate Ice Cream,Sapiens
Adventurous,Munbe Vaa,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Wildflower Hall (₹13000/night),Pasta,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Munnar,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Leela (₹15000/night),Ice Cream,Sapiens
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Taj Exotica (₹12000/night),Biryani,Big Magic
Calm,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Exotica (₹12000/night),Biryani,Big Magic
Adventurous,Nenjukkul Peidhidum,Minnale,Ooty,"Aguada Fort, Baga Beach, Dudhsagar Falls",Span Resort & Spa (₹10000/night),Ice Cream,The Alchemist
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Shimla,"Solang Valley, Rohtang Pass, Hadimba Temple",Tea County (₹7000/night),Ice Cream,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Shimla,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Fragrant Nature (₹8500/night),Pasta,Big Magic
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Sapiens
Happy,Munbe Vaa,Minnale,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",The Carlton (₹8000/night),Samosa,The Alchemist
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Shimla,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Chocolate Ice Cream,Big Magic
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Pasta,Ikigai
Happy,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Pasta,Sapiens
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Minnale,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Savoy Ooty (₹9000/night),Biryani,Ikigai
Happy,Munbe Vaa,Azhagiya Tamil Magan,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Pizza,Ikigai
Romantic,Munbe Vaa,Minnale,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Atomic Habits
Adventurous,Munbe Vaa,Thani Oruvan,Shimla,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",The Carlton (₹8000/night),Chocolate Ice Cream,Atomic Habits
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Savoy (₹10500/night),Samosa,Ikigai
Adventurous,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Manu Allaya Resort (₹7500/night),Ice Cream,Ikigai
Romantic,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Minnale,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Samosa,Big Magic
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",Sterling Kodai Lake (₹6000/night),Ice Cream,Atomic Habits
Calm,Munbe Vaa,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Ice Cream,Sapiens
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",The Leela (₹15000/night),Pasta,The Alchemist
Adventurous,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Samosa,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Samosa,Big Magic
Adventurous,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",The Carlton (₹8000/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Shimla,"Aguada Fort, Dudhsagar Falls, Baga Beach",Taj Savoy (₹10500/night),Chocolate Ice Cream,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Manali,"Dudhsagar Falls, Baga Beach, Aguada Fort",Taj Exotica (₹12000/night),Pizza,The Alchemist
Romantic,Ullam Urugudhaiya,Thani Oruvan,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Pasta,Atomic Habits
Romantic,Munbe Vaa,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Ice Cream,Big Magic
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Botanical Garden, Doddabetta Peak, Ooty Lake",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Atomic Habits
Adventurous,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Azhagiya Tamil Magan,Shimla,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Chocolate Ice Cream,The Alchemist
Calm,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Samosa,Sapiens
Calm,Ullam Urugudhaiya,Minnale,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Fragrant Nature (₹8500/night),Ice Cream,Atomic Habits
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Kodaikanal,"Pillar Rocks, Bryant Park, Coaker's Walk",Wildflower Hall (₹13000/night),Biryani,Atomic Habits
Adventurous,Munbe Vaa,Thani Oruvan,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Carlton (₹8000/night),Ice Cream,Big Magic
Calm,Munbe Vaa,Minnale,Goa,"Hadimba Temple, Solang Valley, Rohtang Pass",Tea County (₹7000/night),Chocolate Ice Cream,Ikigai
Romantic,Nenjukkul Peidhidum,Thani Oruvan,Manali,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",The Carlton (₹8000/night),Samosa,Atomic Habits
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Wildflower Hall (₹13000/night),Ice Cream,Big Magic
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Big Magic
Adventurous,Munbe Vaa,Minnale,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Fragrant Nature (₹8500/night),Ice Cream,Sapiens
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Dudhsagar Falls, Baga Beach, Aguada Fort",Span Resort & Spa (₹10000/night),Pizza,Atomic Habits
Calm,Munbe Vaa,Azhagiya Tamil Magan,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Wildflower Hall (₹13000/night),Pasta,Sapiens
Romantic,Munbe Vaa,Thani Oruvan,Goa,"Dudhsagar Falls, Baga Beach, Aguada Fort",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Happy,Munbe Vaa,Minnale,Kodaikanal,"Dudhsagar Falls, Aguada Fort, Baga Beach",The Leela (₹15000/night),Pasta,Big Magic
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Shimla,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Calm,Ullam Urugudhaiya,Minnale,Goa,"Baga Beach, Aguada Fort, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Biryani,Sapiens
Happy,Nenjukkul Peidhidum,Deiva Thirumagal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Span Resort & Spa (₹10000/night),Ice Cream,The Alchemist
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Tea County (₹7000/night),Samosa,Ikigai
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Samosa,Sapiens
Calm,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Ice Cream,Ikigai
Calm,Nenjukkul Peidhidum,Deiva Thirumagal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Pizza,Ikigai
Adventurous,Nenjukkul Peidhidum,Deiva Thirumagal,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Samosa,Ikigai
Romantic,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",Fragrant Nature (₹8500/night),Pasta,Sapiens
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Munnar,"Ooty Lake, Doddabetta Peak, Botanical Garden",Tea County (₹7000/night),Biryani,Sapiens
Romantic,Munbe Vaa,Thani Oruvan,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Savoy (₹10500/night),Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Ikigai
Adventurous,Nenjukkul Peidhidum,Deiva Thirumagal,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Pasta,Sapiens
Calm,Munbe Vaa,Thani Oruvan,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Span Resort & Spa (₹10000/night),Samosa,The Alchemist
Romantic,Ullam Urugudhaiya,Thani Oruvan,Goa,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Taj Savoy (₹10500/night),Biryani,Ikigai
Calm,Munbe Vaa,Azhagiya Tamil Magan,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Savoy Ooty (₹9000/night),Ice Cream,Atomic Habits
Romantic,Munbe Vaa,Thani Oruvan,Shimla,"Doddabetta Peak, Botanical Garden, Ooty Lake",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,The Alchemist
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Manu Allaya Resort (₹7500/night),Ice Cream,Sapiens
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Adventurous,Ullam Urugudhaiya,Minnale,Munnar,"Hadimba Temple, Solang Valley, Rohtang Pass",Manu Allaya Resort (₹7500/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Shimla,"Mall Road, Kufri, Jakhoo Temple",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Minnale,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Manali,"Ooty Lake, Doddabetta Peak, Botanical Garden",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Big Magic
Calm,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",Savoy Ooty (₹9000/night),Pizza,Sapiens
Happy,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Biryani,Sapiens
Romantic,Munbe Vaa,Deiva Thirumagal,Shimla,"Aguada Fort, Baga Beach, Dudhsagar Falls",Wildflower Hall (₹13000/night),Biryani,Ikigai
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Goa,"Kufri, Jakhoo Temple, Mall Road",The Leela (₹15000/night),Ice Cream,Big Magic
Romantic,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Munnar,"Bryant Park, Coaker's Walk, Pillar Rocks",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,The Alchemist
Happy,Munbe Vaa,Azhagiya Tamil Magan,Munnar,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Tea County (₹7000/night),Pasta,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Taj Exotica (₹12000/night),Pasta,Ikigai
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Manu Allaya Resort (₹7500/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Calm,Munbe Vaa,Deiva Thirumagal,Shimla,"Ooty Lake, Doddabetta Peak, Botanical Garden",Span Resort & Spa (₹10000/night),Samosa,Ikigai
Calm,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Fragrant Nature (₹8500/night),Pasta,The Alchemist
Adventurous,Ullam Urugudhaiya,Minnale,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Shimla,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Biryani,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Minnale,Manali,"Pillar Rocks, Coaker's Walk, Bryant Park",The Carlton (₹8000/night),Samosa,Big Magic
Calm,Munbe Vaa,Minnale,Munnar,"Mall Road, Kufri, Jakhoo Temple",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Calm,Nenjukkul Peidhidum,Minnale,Munnar,"Pillar Rocks, Bryant Park, Coaker's Walk",Savoy Ooty (₹9000/night),Pizza,Sapiens
Calm,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Minnale,Shimla,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Pizza,Atomic Habits
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Shimla,"Dudhsagar Falls, Aguada Fort, Baga Beach",Manu Allaya Resort (₹7500/night),Ice Cream,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Goa,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Exotica (₹12000/night),Pasta,Atomic Habits
Happy,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Biryani,Ikigai
Happy,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Wildflower Hall (₹13000/night),Biryani,Big Magic
Adventurous,Munbe Vaa,Minnale,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Exotica (₹12000/night),Ice Cream,Big Magic
Romantic,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Ice Cream,Atomic Habits
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Ooty,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Biryani,The Alchemist
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Goa,"Doddabetta Peak, Botanical Garden, Ooty Lake",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Ooty Lake, Doddabetta Peak, Botanical Garden",Span Resort & Spa (₹10000/night),Chocolate Ice Cream,Sapiens
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Calm,Munbe Vaa,Thani Oruvan,Ooty,"Dudhsagar Falls, Aguada Fort, Baga Beach",The Leela (₹15000/night),Pasta,Atomic Habits
Romantic,Munbe Vaa,Thani Oruvan,Goa,"Dudhsagar Falls, Aguada Fort, Baga Beach",Fragrant Nature (₹8500/night),Pizza,Ikigai
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Tea County (₹7000/night),Pasta,The Alchemist
Romantic,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Mall Road, Kufri, Jakhoo Temple",Span Resort & Spa (₹10000/night),Pasta,The Alchemist
Happy,Munbe Vaa,Thani Oruvan,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Wildflower Hall (₹13000/night),Biryani,Ikigai
Romantic,Nenjukkul Peidhidum,Minnale,Shimla,"Pillar Rocks, Bryant Park, Coaker's Walk",Manu Allaya Resort (₹7500/night),Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Romantic,Munbe Vaa,Minnale,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Wildflower Hall (₹13000/night),Samosa,Big Magic
Happy,Munbe Vaa,Minnale,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",The Leela (₹15000/night),Biryani,Atomic Habits
Calm,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Sapiens
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Manali,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Samosa,Ikigai
